,Unnamed: 0,M_ORIGIN,M_DESTINATION,D_LANDMARK,D_TYPE,O_LANDMARK,O_TYPE,START_TIME,TRIP_SEQUENCE,TOTAL_TIME,ACCESS_MODE,ACCESS_TIME,ACCESS_DISTANCE,WT_FS,EGRESS_MODE,EGRESS_TIME,EGRESS_DISTANCE,WT_FIS,BICYCLE_USE,TRANSFER_TIME,WAITING_TIME_SECOND_STOP,PASS,TOTAL_COST,CROWDING,GENDER,S_1,S_2,S_3,AGE,EDUCATION,OCCUPATION,INCOME,CARS,TWO_WHEELER,N_BICYCLES,OTHERS,PARKING,RENT,PARK,DESTINATION,ORIGIN,TRIP,AGE_C,ACCESS_DIS,EGRESS_DIS,RENT_BICYCLE,MALE,ACCESS_M,EGRESS_M
354,354,Jayaprakash Nagar (green line),Kengeri Bus Terminal (purple line),Sheshadripuram college ,Other,Royal school ,Home,00:00:00,Metro ,60,Auto Rickshaw ,15,1 km to 1.5 km ,9,Walk ,8,< 0.5 km ,,For access trip only ,,,No ,55,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,1.0,2,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",15,2,8,1,1,1,4,1,2,0,5,1
355,355,South End Circle (green line),Chickpet (green line),"Chickpete market, sudharshan silks ",Shopping,"Jaynagar 2nd block, Herbalife ",Home,00:40:00,Metro ,20,Auto Rickshaw ,5,< 0.5 km ,7,Walk ,8,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,46-60 yrs ,12th,Unemployed,,1.0,2,0,0,"No, I will not use a bicycle. .",15,3,4,1,1,4,1,3,1,0,5,1
356,356,South End Circle (green line),Baiyappanahalli (purple line),RMz inifinity ,Work,"South end circle, Vijaya college ",Home,12:45:00,Metro ,90,Walk ,8,0.5 to 1 km ,8,Company cab,10,3.5 km to 4 km ,2.0,For neither access nor egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,>2 Lakhs,1.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",15,2,2,1,1,2,3,9,1,0,1,10
357,357,South End Circle (green line),Rajajinagar (green line),Rajajinagar ,Friend,Basvangudi ,Home,00:50:00,Metro ,45,Walk ,10,0.5 to 1 km ,8,Dropped-off by friends/family members/others ,15,2.5 km to 3 km ,2.0,For access trip only ,,,No ,28,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,1.0,2,1,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",15,2,7,1,1,1,3,7,2,0,1,8
360,360,South End Circle (green line),Mantri Square Sampige Road (green line),"Sai Baba temple,14th cross",Friend,City central hospital ,Home,13:10:00,Metro ,20,Walk ,2,< 0.5 km ,8,Auto Rickshaw ,8,1.5 km to 2 km ,3.0,For neither access nor egress trips ,,,Metro card ,40,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,1.0,2,1,0,"No, I will not use a bicycle. .",15,3,7,1,1,1,1,2,1,0,1,5
362,362,South End Circle (green line),Krishna Rajendra Market (green line),Bangalore medical College ,School,"Mohammedan block,Jamia masjid",Home,13:05:00,Metro ,20,Walk ,13,0.5 to 1 km ,10,Walk ,5,< 0.5 km ,,For access trip only ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,2.0,1,1,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",15,2,3,1,1,1,3,1,2,0,1,1
363,363,Singayyanapalya (purple line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)",Lulu mall,Shopping,"Near Phoenix mall, RHB colony ",Home,13:03:00,"Metro1,Bus1,Metro2,Bus2",100,Walk ,15,0.5 to 1 km ,3,Walk ,3,< 0.5 km ,,For neither access nor egress trips ,2.0,2.0,No ,63,No crowding  - 50-75% of seats occupied ,Female,Eligible but do not use ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,,0.0,2,1,0,"Yes, I own a bicycle or I will buy a bicycle, and use it under current travel conditions between my home and the metro station. .",15,1,4,1,0,2,3,1,1,0,1,1
375,375,Goraguntepalya (green line),Lalbagh (green line),Near Jain University ,Other,Sundarghatta ,Work,14:40:00,"Bus1 ,bus2, metro1",120,Walk ,7,0.5 to 1 km ,10,Walk ,20,2 km to 2.5 km ,,For neither access nor egress trips ,3.0,8.0,Metro card ,25,No crowding  - 50-75% of seats occupied ,Female,Not eligible ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,0.0,0,0,0,"No, I will not use a bicycle. .",15,3,8,2,0,1,3,11,1,0,1,1
377,377,Goraguntepalya (green line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)","KSR, majestic ",Other,Near Metro station ,Home,15:10:00,Metro ,15,Walk ,3,< 0.5 km ,8,Walk ,7,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - 50-75% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,0.0,0,0,0,"No, I will not use a bicycle. .",15,3,8,1,1,1,1,3,1,0,1,1
381,381,Goraguntepalya (green line),Jayanagar (green line),"Banshakari,thyagraj nagar",Home,"Chikmagalur, got down from bus at gorguntapalya metro station ",Other,03:25:00,Metro ,40,Walk ,4,< 0.5 km ,10,Auto Rickshaw ,10,1 km to 1.5 km ,5.0,For egress trip only ,,,No ,68,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,0.0,0,0,0,"No, I will not use a bicycle. .",15,3,1,8,1,1,1,4,4,0,1,5
382,382,Goraguntepalya (green line),Mantri Square Sampige Road (green line),"Malleshwaram ,India bulls",Home,"Gorguntapalya,rns nivas ",Work,15:30:00,Metro ,40,Walk ,5,< 0.5 km ,8,Auto Rickshaw ,10,1 km to 1.5 km ,3.0,For egress trip only ,,,Metro card ,40,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,1.0,2,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",15,2,1,2,1,1,1,4,4,0,1,5
385,385,Goraguntepalya (green line),"Dr. B. R. Ambedkar Station, Vidhana Soudha (purple line)","Cunningham road, cumin",Restaurant,Near Taj vivantha ,Work,15:35:00,Metro ,45,Walk ,5,< 0.5 km ,8,Auto Rickshaw ,7,1 km to 1.5 km ,3.0,For egress trip only ,,,Metro card ,40,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,>2 Lakhs,1.0,1,1,0,Not Applicable - because neither ends of my trip is home. .,15,4,5,2,1,2,1,4,4,0,1,5
388,388,Goraguntepalya (green line),Mahalakshmi (green line),Mahalaxmi layout,Home,"Tumkur, got down in gorguntapalya metro station ",Friend,15:15:00,Metro ,75,Dropped-off by friends/family members/others ,50,> 5 km ,9,Auto Rickshaw ,5,0.5 to 1 km ,4.0,For egress trip only ,,,No ,55,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,2.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",15,2,1,7,1,1,8,3,4,0,8,5
390,390,Goraguntepalya (green line),Mantri Square Sampige Road (green line),Kumara park west,Home,Sparsh hospitals,Work,16:10:00,Metro ,45,Walk ,5,< 0.5 km ,8,Auto Rickshaw ,7,1 km to 1.5 km ,3.0,For egress trip only ,,,Metro card ,30,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Postgraduate,Employed,,2.0,1,1,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",15,2,1,2,1,2,1,4,4,0,1,5
398,398,Sandal Soap Factory (green line),National College (green line),Dhriti technology ,Work,Yeshwantpur ,Home,09:00:00,Metro ,40,Dropped-off by friends/family members/others ,5,1 km to 1.5 km ,5,Walk ,10,0.5 to 1 km ,,For access trip only ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was not making this trip earlier ,18-25 yrs ,Graduate,Employed,,1.0,2,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",15,2,2,1,1,1,4,3,2,0,8,1
399,399,Sandal Soap Factory (green line),Jayaprakash Nagar (green line),Jp 8th cross,School,Rameshwaram cafe ,Home,09:15:00,Metro ,45,Walk ,15,1 km to 1.5 km ,5,Walk ,15,1 km to 1.5 km ,,For both access and egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,1.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",15,2,3,1,1,1,4,4,3,0,1,1
400,400,Sandal Soap Factory (green line),Baiyappanahalli (purple line),RMz infinity ,Work,Vidyaranyapura ,Home,09:00:00,Bus1 + Metro + Bus2 ,120,Walk ,7,0.5 to 1 km ,7,Walk ,3,< 0.5 km ,,For neither access nor egress trips ,3.0,5.0,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,>2 Lakhs,1.0,1,0,0,"No, I will not use a bicycle. .",15,3,2,1,4,1,3,1,1,0,1,1
401,401,Sandal Soap Factory (green line),National College (green line),Brigade mlr,Work,Yeshwantpur ttmc,Home,09:00:00,Bus + Metro ,60,Walk ,20,1.5 km to 2 km ,5,Walk ,2,< 0.5 km ,,For both access and egress trips ,5.0,5.0,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,0.0,1,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",15,2,2,1,2,1,2,1,3,0,1,1
404,404,Sandal Soap Factory (green line),Indiranagar (purple line),Near krf,Work,Mattikere domino's ,Home,09:45:00,Metro ,50,Drove and parked a two-Wheeler ,15,3.5 km to 4 km ,5,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,,1.0,2,0,0,"No, I will not use a bicycle. .",15,3,2,1,1,2,9,1,1,0,3,1
405,405,Sandal Soap Factory (green line),Jayanagar (green line),Sg Palya,Work,"New bel road,dollars colony ",Home,09:40:00,Metro ,60,Drove and parked a two-Wheeler ,20,> 5 km ,5,Auto Rickshaw ,15,4 km to 4.5 km ,2.0,For neither access nor egress trips ,,,Metro card ,50,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,2.0,1,0,0,"No, I will not use a bicycle. .",15,3,2,1,1,1,8,10,1,0,3,5
406,406,Sandal Soap Factory (green line),"Sir.M.Visvesvaraya Stn., Central College (purple line)",Uvce,School,NearYeshwantpur railway station ,Home,10:00:00,Bus + Metro ,60,Walk ,5,< 0.5 km ,5,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,8.0,5.0,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,0.0,1,0,0,"No, I will not use a bicycle. .",15,3,3,1,2,1,1,1,1,0,1,1
407,407,Sandal Soap Factory (green line),Krishna Rajendra Market (green line),"Chamrajpet,SBI life insurance ",Work,Laxmipuram,Home,09:00:00,Bus1 + Metro + Bus2 ,150,Walk ,5,< 0.5 km ,13,Walk ,5,0.5 to 1 km ,,For neither access nor egress trips ,2.0,5.0,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Trade,Employed,,0.0,1,0,0,"No, I will not use a bicycle. .",15,3,2,1,4,1,1,3,1,0,1,1
411,411,Sandal Soap Factory (green line),Jayaprakash Nagar (green line),Near to metro ,Work,GKVK,Home,10:10:00,Metro ,75,Auto Rickshaw ,30,> 5 km ,8,Auto Rickshaw ,8,2 km to 2.5 km ,5.0,For egress trip only ,,,Metro card ,300,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,,2.0,1,2,0,"No, I will not use a bicycle. .",15,3,2,1,1,2,8,11,4,0,5,5
412,412,Sandal Soap Factory (green line),Baiyappanahalli (purple line),Kundanahalli ,Work,Yelhanka new town ,Home,07:30:00,Metro1 + Bus + Metro2 ,120,Auto Rickshaw ,60,> 5 km ,8,Walk ,5,< 0.5 km ,,For egress trip only ,3.0,2.0,Metro card ,260,Low crowding - All seats AND up to 25% of standing space occupied ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,1.0,2,0,0,"No, I will not use a bicycle. .",15,3,2,1,5,1,8,1,4,0,5,1
415,415,Sandal Soap Factory (green line),Mahalakshmi (green line),Iskon,Social,Near metro,Home,10:50:00,Metro ,10,Walk ,5,< 0.5 km ,4,Walk ,5,0.5 to 1 km ,,For neither access nor egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,Graduate,Unemployed,,1.0,1,0,0,"No, I will not use a bicycle. .",15,3,6,1,1,3,1,3,1,0,1,1
416,416,Sandal Soap Factory (green line),Baiyappanahalli (purple line),Bagmane- tech park ,Work,Brigade gateway,Home,10:50:00,Metro ,90,Dropped-off by friends/family members/others ,5,0.5 to 1 km ,8,Company cab,10,2 km to 2.5 km ,1.0,For neither access nor egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,Graduate,Employed,>2 Lakhs,2.0,1,1,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",15,2,2,1,1,3,3,11,1,0,8,10
420,420,Kengeri (purple line),Yeshwanthpur (green line),Yelhanka ,Home,Acs college,School,11:10:00,Metro ,120,Auto Rickshaw ,10,4 km to 4.5 km ,5,Auto Rickshaw ,60,> 5 km ,10.0,For neither access nor egress trips ,,,Metro card ,94,No crowding  - 25-50% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,26-35 yrs ,Graduate,Employed,"<=10,000",0.0,2,2,0,"No, I will not use a bicycle. .",15,3,1,3,1,2,10,8,1,0,5,5
425,425,Peenya (green line),"Nadaprabhu Kempegowda Station, Majestic (green/purple line)","Majestic ,to meet a friend ",Other,Jalahalli quarters,Home,11:35:00,Metro ,45,Walk ,10,0.5 to 1 km ,8,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,No ,20,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Postgraduate,Student,,1.0,1,1,0,"No, I will not use a bicycle. .",15,3,8,1,1,1,3,1,1,0,1,1
428,428,Peenya (green line),Goraguntepalya (green line),Yeshwantpur ,Work,Platinum city,Home,11:30:00,Metro ,20,Walk ,5,< 0.5 km ,8,Walk ,5,< 0.5 km ,,For both access and egress trips ,,,Mobility card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,0.0,0,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",15,2,2,1,1,1,1,1,3,0,1,1
431,431,Peenya (green line),Chickpet (green line),RT street ,Shopping,Platinum city,Home,12:00:00,Metro ,25,Walk ,10,0.5 to 1 km ,8,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - Most ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,46-60 yrs ,12th,Unemployed,,1.0,1,0,0,"No, I will not use a bicycle. .",15,3,4,1,1,4,3,1,1,0,1,1
432,432,Peenya (green line),Mahalakshmi (green line),Iskon,Social,Peenya phase 3,Other,12:00:00,Metro ,30,Drove and parked a two-Wheeler ,10,2 km to 2.5 km ,8,Walk ,10,1 km to 1.5 km ,,For neither access nor egress trips ,,,Metro card ,0,No crowding  - 50-75% of seats occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Employed,,0.0,0,0,0,Not Applicable - because neither ends of my trip is home. .,15,4,6,8,1,1,11,4,1,0,3,1
436,436,Mahalakshmi (green line),National College (green line),BIT,School,Mahalakshmi layout ,Home,12:25:00,Metro ,30,Walk ,15,1 km to 1.5 km ,8,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Female,,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,18-25 yrs ,Graduate,Student,,1.0,2,0,0,"Yes, I own a bicycle or I will buy a bicycle, and use it if a safe bicycling path is available between my home and the metro station. .",15,2,3,1,1,1,4,3,3,0,1,1
437,437,Mahalakshmi (green line),National College (green line),Bharathi nursing home ,Home,Mahalaxmi layout ,Work,12:40:00,Metro + Bus ,45,Walk ,5,0.5 to 1 km ,7,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,3.0,5.0,Metro card ,0,No crowding  - Most ,Female,Yes ,I will use same mode as reported for this trip ,I was using same mode as reported for this trip ,36-45 yrs ,Trade,Unemployed,,1.0,1,1,0,"No, I will not use a bicycle. .",15,3,1,2,3,3,3,1,1,0,1,1
